x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,r,g,b
0,5.12,4.8,101.12,-96,4.8,0,-197.12,4.8,-101.12,-96,4.8,124,126,132
0,5.12,0,-101.12,-96,0,0,-197.12,0,101.12,-96,0,124,126,132
101.12,-96,0,0,-197.12,0,0,-197.12,4.8,101.12,-96,4.8,124,126,132
-101.12,-96,0,0,5.12,0,0,5.12,4.8,-101.12,-96,4.8,124,126,132
0,-197.12,0,-101.12,-96,0,-101.12,-96,4.8,0,-197.12,4.8,124,126,132
0,5.12,0,101.12,-96,0,101.12,-96,4.8,0,5.12,4.8,124,126,132
-4.8,-14.4,14.4,62.4,-81.6,14.4,-14.4,-158.4,14.4,-81.6,-91.2,14.4,255,255,0
-4.8,-14.4,4.8,-81.6,-91.2,4.8,-14.4,-158.4,4.8,62.4,-81.6,4.8,255,255,0
62.4,-81.6,4.8,-14.4,-158.4,4.8,-14.4,-158.4,14.4,62.4,-81.6,14.4,255,255,0
-81.6,-91.2,4.8,-4.8,-14.4,4.8,-4.8,-14.4,14.4,-81.6,-91.2,14.4,255,255,0
-14.4,-158.4,4.8,-81.6,-91.2,4.8,-81.6,-91.2,14.4,-14.4,-158.4,14.4,255,255,0
-4.8,-14.4,4.8,62.4,-81.6,4.8,62.4,-81.6,14.4,-4.8,-14.4,14.4,255,255,0
-4.8,-20.8,48,56,-81.6,48,-14.4,-152,48,-75.2,-91.2,48,60,60,255
-4.8,-20.8,14.4,-75.2,-91.2,14.4,-14.4,-152,14.4,56,-81.6,14.4,60,60,255
56,-81.6,14.4,-14.4,-152,14.4,-14.4,-152,48,56,-81.6,48,60,60,255
-75.2,-91.2,14.4,-4.8,-20.8,14.4,-4.8,-20.8,48,-75.2,-91.2,48,60,60,255
-14.4,-152,14.4,-75.2,-91.2,14.4,-75.2,-91.2,48,-14.4,-152,48,60,60,255
-4.8,-20.8,14.4,56,-81.6,14.4,56,-81.6,48,-4.8,-20.8,48,60,60,255
-4.8,-17.6,52.8,59.2,-81.6,52.8,-14.4,-155.2,52.8,-78.4,-91.2,52.8,255,70,55
-4.8,-17.6,48,-78.4,-91.2,48,-14.4,-155.2,48,59.2,-81.6,48,255,70,55
59.2,-81.6,48,-14.4,-155.2,48,-14.4,-155.2,52.8,59.2,-81.6,52.8,255,70,55
-78.4,-91.2,48,-4.8,-17.6,48,-4.8,-17.6,52.8,-78.4,-91.2,52.8,255,70,55
-14.4,-155.2,48,-78.4,-91.2,48,-78.4,-91.2,52.8,-14.4,-155.2,52.8,255,70,55
-4.8,-17.6,48,59.2,-81.6,48,59.2,-81.6,52.8,-4.8,-17.6,52.8,255,70,55
